id,name,study,site,metric_date,screened_count,enrolled_count,randomized_count,screen_failure_count,screening_to_randomization_time
a0J5f000000XyT1EAK,ONCO-2025-117-001-Oct2024,a0B5f000000XmGrEAK,a0C5f000000JtS9EAK,10/31/2024,3,2,2,1,8
a0J5f000000XyT2EAK,ONCO-2025-117-001-Nov2024,a0B5f000000XmGrEAK,a0C5f000000JtS9EAK,11/30/2024,2,2,2,0,7.5
a0J5f000000XyT3EAK,ONCO-2025-117-001-Dec2024,a0B5f000000XmGrEAK,a0C5f000000JtS9EAK,12/31/2024,3,2,2,1,7.2
a0J5f000000XyT4EAK,ONCO-2025-117-002-Oct2024,a0B5f000000XmGrEAK,a0C5f000000JtSAEA0,10/31/2024,2,2,2,0,7.8
a0J5f000000XyT5EAK,ONCO-2025-117-002-Nov2024,a0B5f000000XmGrEAK,a0C5f000000JtSAEA0,11/30/2024,1,1,1,0,7.3
a0J5f000000XyT6EAK,ONCO-2025-117-003-Oct2024,a0B5f000000XmGrEAK,a0C5f000000JtSBEA0,10/31/2024,1,1,1,0,8
a0J5f000000XyT7EAK,ONCO-2025-117-003-Nov2024,a0B5f000000XmGrEAK,a0C5f000000JtSBEA0,11/30/2024,1,1,1,0,7.9
a0J5f000000XyT8EAK,ONCO-2025-117-004-Oct2024,a0B5f000000XmGrEAK,a0C5f000000JtSCEA0,10/31/2024,1,1,1,0,8.5
a0J5f000000XyT9EAK,ONCO-2025-117-004-Nov2024,a0B5f000000XmGrEAK,a0C5f000000JtSCEA0,11/30/2024,1,0,0,1,0
a0J5f000000XyTAEA0,ONCO-2025-117-005-Oct2024,a0B5f000000XmGrEAK,a0C5f000000JtSDEA0,10/31/2024,0,0,0,0,0
a0J5f000000XyTBEA0,ONCO-2025-117-005-Nov2024,a0B5f000000XmGrEAK,a0C5f000000JtSDEA0,11/30/2024,2,1,1,1,8.7
a0J5f000000XyTCEA0,ONCO-2025-117-002-Dec2024,a0B5f000000XmGrEAK,a0C5f000000JtSAEA0,12/31/2024,2,1,1,1,7.2
a0J5f000000XyTDEA0,ONCO-2025-117-003-Dec2024,a0B5f000000XmGrEAK,a0C5f000000JtSBEA0,12/31/2024,1,1,1,0,7.5
a0J5f000000XyTEEA0,ONCO-2025-117-004-Dec2024,a0B5f000000XmGrEAK,a0C5f000000JtSCEA0,12/31/2024,1,1,1,0,8.3
a0J5f000000XyTFEA0,ONCO-2025-117-005-Dec2024,a0B5f000000XmGrEAK,a0C5f000000JtSDEA0,12/31/2024,1,1,1,0,8.5
a0J5f000000XyTGEA0,ONCO-2025-117-001-Jan2025,a0B5f000000XmGrEAK,a0C5f000000JtS9EAK,1/31/2025,5,4,4,1,7.1
a0J5f000000XyTHEA0,ONCO-2025-117-002-Jan2025,a0B5f000000XmGrEAK,a0C5f000000JtSAEA0,1/31/2025,3,3,3,0,7
a0J5f000000XyTIEA0,ONCO-2025-117-003-Jan2025,a0B5f000000XmGrEAK,a0C5f000000JtSBEA0,1/31/2025,4,3,3,1,7.1
a0J5f000000XyTJEA0,ONCO-2025-117-004-Jan2025,a0B5f000000XmGrEAK,a0C5f000000JtSCEA0,1/31/2025,1,1,1,0,8
a0J5f000000XyTKEA0,ONCO-2025-117-005-Jan2025,a0B5f000000XmGrEAK,a0C5f000000JtSDEA0,1/31/2025,1,1,1,0,7.9
a0J5f000000XyTLEA0,ONCO-2025-117-001-Feb2025,a0B5f000000XmGrEAK,a0C5f000000JtS9EAK,2/28/2025,5,4,4,1,7
a0J5f000000XyTMEA0,ONCO-2025-117-002-Feb2025,a0B5f000000XmGrEAK,a0C5f000000JtSAEA0,2/28/2025,4,3,3,1,6.9
a0J5f000000XyTNEA0,ONCO-2025-117-003-Feb2025,a0B5f000000XmGrEAK,a0C5f000000JtSBEA0,2/28/2025,3,3,3,0,7.1
a0J5f000000XyTOEA0,ONCO-2025-117-004-Feb2025,a0B5f000000XmGrEAK,a0C5f000000JtSCEA0,2/28/2025,1,1,1,0,7.8
a0J5f000000XyTPEA0,ONCO-2025-117-005-Feb2025,a0B5f000000XmGrEAK,a0C5f000000JtSDEA0,2/28/2025,1,1,1,0,7.8
a0J5f000000XyTQEA0,ONCO-2025-117-001-Mar2025,a0B5f000000XmGrEAK,a0C5f000000JtS9EAK,3/31/2025,5,4,4,1,6.9
a0J5f000000XyTREA0,ONCO-2025-117-002-Mar2025,a0B5f000000XmGrEAK,a0C5f000000JtSAEA0,3/31/2025,4,3,3,1,6.7
a0J5f000000XyTSEA0,ONCO-2025-117-003-Mar2025,a0B5f000000XmGrEAK,a0C5f000000JtSBEA0,3/31/2025,4,3,3,1,7
a0J5f000000XyTTEA0,ONCO-2025-117-004-Mar2025,a0B5f000000XmGrEAK,a0C5f000000JtSCEA0,3/31/2025,2,1,1,1,7.7
a0J5f000000XyTUEA0,ONCO-2025-117-005-Mar2025,a0B5f000000XmGrEAK,a0C5f000000JtSDEA0,3/31/2025,1,1,1,0,7.5
a0J5f000000XyTVEA0,ONCO-2025-117-001-Apr2025,a0B5f000000XmGrEAK,a0C5f000000JtS9EAK,4/30/2025,4,3,3,1,7
a0J5f000000XyTWEA0,ONCO-2025-117-002-Apr2025,a0B5f000000XmGrEAK,a0C5f000000JtSAEA0,4/30/2025,4,3,3,1,6.9
a0J5f000000XyTXEA0,ONCO-2025-117-003-Apr2025,a0B5f000000XmGrEAK,a0C5f000000JtSBEA0,4/30/2025,3,3,3,0,7
a0J5f000000XyTYEA0,ONCO-2025-117-004-Apr2025,a0B5f000000XmGrEAK,a0C5f000000JtSCEA0,4/30/2025,1,1,1,0,7.6
a0J5f000000XyTZEA0,ONCO-2025-117-005-Apr2025,a0B5f000000XmGrEAK,a0C5f000000JtSDEA0,4/30/2025,1,1,1,0,7.5
a0J5f000000XyTaEAK,ONCO-2025-117-001-May2025,a0B5f000000XmGrEAK,a0C5f000000JtS9EAK,5/31/2025,4,3,3,1,6.8
a0J5f000000XyTbEAK,ONCO-2025-117-002-May2025,a0B5f000000XmGrEAK,a0C5f000000JtSAEA0,5/31/2025,4,3,3,1,6.7
a0J5f000000XyTcEAK,ONCO-2025-117-003-May2025,a0B5f000000XmGrEAK,a0C5f000000JtSBEA0,5/31/2025,4,3,3,1,6.9
a0J5f000000XyTdEAK,ONCO-2025-117-004-May2025,a0B5f000000XmGrEAK,a0C5f000000JtSCEA0,5/31/2025,1,1,1,0,7.5
a0J5f000000XyTeEAK,ONCO-2025-117-005-May2025,a0B5f000000XmGrEAK,a0C5f000000JtSDEA0,5/31/2025,1,1,1,0,7.4
a0J5f000000XyTfEAK,ONCO-2025-117-001-Jun2025,a0B5f000000XmGrEAK,a0C5f000000JtS9EAK,6/30/2025,5,4,4,1,6.7
a0J5f000000XyTgEAK,ONCO-2025-117-002-Jun2025,a0B5f000000XmGrEAK,a0C5f000000JtSAEA0,6/30/2025,6,5,5,1,6.6
a0J5f000000XyThEAK,ONCO-2025-117-003-Jun2025,a0B5f000000XmGrEAK,a0C5f000000JtSBEA0,6/30/2025,5,4,4,1,6.8
a0J5f000000XyTiEAK,ONCO-2025-117-004-Jun2025,a0B5f000000XmGrEAK,a0C5f000000JtSCEA0,6/30/2025,3,2,2,1,7.4
a0J5f000000XyTjEAK,ONCO-2025-117-005-Jun2025,a0B5f000000XmGrEAK,a0C5f000000JtSDEA0,6/30/2025,1,1,1,0,7.3
